"French_Muni","Swiss_Muni","local_admin_unit_id_from","local_admin_unit_id_to","flow_volume","nb.vehicles","distance","duration","share_in_ch","nb_vehicles_adj"
"Buethwiller - Rhin (Haut-) - fr-68057","Basel - Bâle-Ville - ch-2701","fr-68057","ch-2701",3.40368800881259,3.02928232784321,56.913,45.5833333333333,0.077485373623176,2.01952155189547
"Buhl - Rhin (Haut-) - fr-68058","Basel - Bâle-Ville - ch-2701","fr-68058","ch-2701",14.1655875217952,12.6640352444849,57.899,49.7666666666667,0.0516821564019809,8.44269016298992
"Burnhaupt-le-Bas - Rhin (Haut-) - fr-68059","Basel - Bâle-Ville - ch-2701","fr-68059","ch-2701",8.21278238509268,7.55575979428527,50.022,39.9666666666667,0.0809948718626062,5.03717319619018
"Burnhaupt-le-Haut - Rhin (Haut-) - fr-68060","Basel - Bâle-Ville - ch-2701","fr-68060","ch-2701",7.49844576868839,6.56863849337102,51.241,41.8333333333333,0.0786951210742834,4.37909232891402
"Buschwiller - Rhin (Haut-) - fr-68061","Basel - Bâle-Ville - ch-2701","fr-68061","ch-2701",44.1524750434094,36.6024018109864,7.472,16.7833333333333,0.569643574058921,24.4016012073242
"Carspach - Rhin (Haut-) - fr-68062","Basel - Bâle-Ville - ch-2701","fr-68062","ch-2701",25.7673564047432,22.0310897260554,35.285,41.3333333333333,0.096598943277459,14.6873931507036
"Cernay - Rhin (Haut-) - fr-68063","Basel - Bâle-Ville - ch-2701","fr-68063","ch-2701",48.8088247138468,40.1208539147821,51.773,42.6666666666667,0.0727234204013502,26.7472359431881
"Cernay - Rhin (Haut-) - fr-68063","Delémont - Jura - ch-6711","fr-68063","ch-6711",1.06803579638862,0.877925424631443,100.688,71.4666666666667,0.152690104928937,0.585283616420962
"Chalampé - Rhin (Haut-) - fr-68064","Basel - Bâle-Ville - ch-2701","fr-68064","ch-2701",40.544844770596,36.6525396726187,34.644,34.5,0.111249477881921,24.4350264484125
"Chavannes-sur-l'Étang - Rhin (Haut-) - fr-68065","Basel - Bâle-Ville - ch-2701","fr-68065","ch-2701",8.60509855749099,7.89087537721923,49.723,54.9333333333333,0.0709706141670597,5.26058358481282
"Colmar - Rhin (Haut-) - fr-68066","Basel - Bâle-Ville - ch-2701","fr-68066","ch-2701",114.655511438232,70.9717615802656,64.228,53.3333333333333,0.0392606059123609,47.3145077201771
